structure_id,bridge_no,latitude,longitude
0014066B,3/150W,47.75827777,122.6569444
0016194A,3/19.25,47.43819966,122.8356663
0000451A,3/2,47.19294411,123.098833
0000729A,3/3,47.20922222,123.1008056
0003458A,3/8,47.248083,123.0454163
0013358A,4/102,46.33555522,123.7025
0013358B,4/104,46.331666,123.6949997
00200121,4/105.25,46.33529966,123.6430997
0003381A,4/106A,46.32936044,123.6388052
0001891A,4/108,46.35613888,123.6049722
0002331A,4/110,46.35910555,123.5666
0002331B,4/111,46.35861111,123.5655556
0002331C,4/112,46.35833333,123.5644444
0002331D,4/113,46.35791666,123.5631389
00200122,4/113.25,46.31058333,123.4807771
0002330A,4/118,46.28927744,123.4672216
0016098B,4/119.25,46.28008266,123.4634444
0002457A,4/120,46.27038822,123.4567222
0004999A,4/125,46.22902711,123.3941108
00200504,4/125.25,46.22564933,123.3932024
00200505,4/126C,46.22359933,123.3926691
0007266A,4/130A,46.21924933,123.3539722
00200503,4/2,46.39090244,123.8273604
0016098A,4/2.25,46.37769933,123.8075
0007004A,4/204,46.18874966,123.176166
0001334A,4/205,46.191083,123.1679993
0001442A,4/208,46.18947188,123.1363052
0001442B,4/209,46.18909411,123.1344608
0011701A,4/210,46.18986077,123.1254716
0007399A,4/215,46.17813822,123.0308327
00200109,4/220.25,46.17613544,123.0245716
0003717A,4/230,46.14728855,122.9179716
00200120,4/4.25,46.37684933,123.796333
00200085,4/5.75,46.371666,123.7849997
0013040A,4/6,46.36802711,123.7806938
0013040B,4/7,46.35919444,123.7630278
0010694B,5/10,45.645083,122.6623611
0007064A,5/102E,45.90555555,122.7421941
0007064B,5/102W,45.90547222,122.7423886
00200084,5/104.75,45.933333,122.7616667
0008952C,5/104A,45.92725488,122.7569528
0004885A,5/104E,45.92753822,122.7560167
0008952A,5/104W,45.92680766,122.7564167
0008952B,5/104W-S,45.92613822,122.7568611
0008952D,5/105W,45.96,122.8064722
0008759A,5/107E,45.97833266,122.821666
0008759B,5/107W,45.98011044,122.824916
0008287A,5/109E,46.00736111,122.8452774
0008287B,5/109W,46.00727777,122.845583
0010694C,5/11,45.649833,122.6624167
0008287C,5/110,46.018416,122.8501389
0008759C,5/112E,46.03556633,122.8568972
0008759D,5/112W,46.03466633,122.8571667
0008759E,5/113,46.04122188,122.8595833
0009136A,5/117E,46.09102188,122.8704466
0009136B,5/117W,46.090983,122.8708021
0010750A,5/118E,46.12488822,122.8920413
0006025A,5/118N-W,46.10513888,122.8763327
0017835A,5/118S-W,46.10714444,122.8825077
0010750B,5/118W,46.12441322,122.8916913
0010750C,5/119.25,46.13047155,122.8989163
0010750D,5/120E,46.13160766,122.8986997
0010750E,5/120W,46.13188822,122.8989719
0010902A,5/121,46.13382188,122.8989941
0010902B,5/122E,46.13697188,122.8979997
0010902C,5/122W,46.13674966,122.8983886
0010902D,5/123E,46.14452744,122.8974163
0010902E,5/123W,46.14441633,122.8977497
0010902F,5/125,46.15225,122.9016111
0010495B,5/126E,46.15697222,122.9019444
0010495A,5/126W,46.15680555,122.9023611
0009597A,5/127E,46.17577711,122.9025278
0009597B,5/127W,46.17574933,122.9030833
0009597C,5/128,46.18427188,122.898258
0009597D,5/129,46.19194411,122.895583
0015661D,5/12BP,45.65651666,122.6641333
0015661A,5/13,45.65761666,122.6644833
00200098,5/130C,46.19466633,122.8937219
0009597E,5/131,46.233808,122.8883136
0009580E,5/133.25,46.27422155,122.8962497
0009580A,5/133E,46.25972222,122.8869441
0009580B,5/133W,46.25972222,122.8874719
0009580C,5/134,46.27547155,122.8981941
0015661E,5/13S-S,45.65848333,122.6658667
0008335A,5/140E,46.31047222,122.9136389
0008335B,5/140W,46.31,122.9133056
0008335C,5/145,46.32411877,122.9131556
00200087,5/146.25,46.38499966,122.9033333
0015661B,5/15,45.66008333,122.6655
0015661F,5/17,45.667916,122.6667771
0015661G,5/18,45.678716,122.6643167
0012156A,5/2,45.62252711,122.6723327
0014329A,5/20,45.69347188,122.6613056
0009964A,5/200,46.39044411,122.9022222
0004367A,5/203E,46.41288333,122.8898469
0004367B,5/203W,46.41286666,122.8900024
0004375A,5/206,46.44524966,122.8876663
0010411A,5/210,46.517916,122.8769716
0010173A,5/212,46.56169444,122.876916
0005678C,5/213.25,46.58236044,122.8870274
0005678D,5/213N-E,46.58211044,122.8861941
00200138,5/214.25,46.59238855,122.8966663
0004204A,5/216E,46.59811077,122.9018056
0004204B,5/216W,46.59805522,122.9020556
00200139,5/217.75,46.61919655,122.9243382
0004363A,5/217E,46.60538888,122.9066389
0004363B,5/217W,46.60530555,122.9068889
0017324A,5/218,46.62630488,122.9333049
00200086,5/219C,46.62727711,122.9344163
0017324C,5/219S-E,46.62704933,122.9346108
0017324B,5/219W-N,46.62755488,122.9339163
0005668A,5/220,46.64576355,122.9592778
00200083,5/220.25,46.64699966,122.9610833
00200088,5/220.26,46.64724966,122.9608611
0012597A,5/221,46.65086111,122.9690827
0011336A,5/222,46.65455555,122.9749438
0011430A,5/223,46.65873611,122.977916
0010134B,5/223N-W,46.66,122.976666
0004337A,5/225,46.66661111,122.9804716
0005668B,5/227,46.67547711,122.9756632
0003936A,5/228,46.69099966,122.969916
0016610A,5/22E,45.70530555,122.6546944
0016610B,5/22W,45.70530555,122.655
0016610C,5/23,45.71451666,122.6528167
0003922A,5/230,46.71173611,122.9755021
0004082A,5/230.25,46.712975,122.9752271
0011757A,5/232E,46.72076322,122.9764966
0018272A,5/232NCD,46.72081877,122.9762493
0018272B,5/232SCD,46.72077711,122.9768882
0011757B,5/232W,46.72076044,122.9766632
0009251A,5/233,46.72697155,122.9770271
0018473A,5/234E,46.73469411,122.9749827
0018272C,5/234W,46.73546633,122.9751382
0014323A,5/24,45.71824933,122.6553611
0018311A,5/24.5,45.72158266,122.6572778
0018311B,5/24.5NN,45.72074933,122.6539722
0018311C,5/24.5SS,45.72155488,122.6561389
0005818A,5/25E,45.72196877,122.6549361
