structure_id,bridge_no,latitude,longitude,pga
0005295D,5/325S-W,47.0345,122.891,0.435892
0013283A,5/327,47.0357,122.887,0.435688
0005296A,5/327E-N,47.0367,122.887,0.435877
0005296B,5/327S-W,47.0368,122.887,0.435856
0012835E,5/328E-N,47.0358,122.886,0.435608
0008264A,5/33,45.852,122.703,0.255302
0012503A,5/330,47.04,122.869,0.434659
0005455A,5/332,47.0411,122.852,0.433313
0013087A,5/332W-S,47.0417,122.852,0.433327
0013197A,5/333,47.0446,122.844,0.433062
0017126A,5/334P,47.0454,122.839,0.432698
0012964A,5/335,47.0462,122.834,0.432318
0016031A,5/335.25,47.0447,122.834,0.432115
0013130A,5/336,47.0471,122.823,0.431475
0008100B,5/337E,47.0487,122.819,0.431277
0008100A,5/337W,47.0486,122.819,0.431317
0008100C,5/339,47.0579,122.797,0.430491
0008100D,5/341,47.0661,122.741,0.426237
0008100E,5/342E,47.0679,122.72,0.424406
0008100G,5/342N-E,47.0673,122.721,0.424404
0008100F,5/342W,47.0681,122.719,0.424375
0008100H,5/342W-S,47.0688,122.72,0.42447
0012137A,5/344E,47.0688,122.711,0.423659
0008100I,5/344S-E,47.0683,122.716,0.424025
0008100J,5/344W,47.0691,122.711,0.423728
0002069A,5/345E,47.0713,122.705,0.423389
0008116A,5/345W,47.0715,122.705,0.423427
0002473A,5/36E,45.8717,122.71,0.256027
0008264B,5/36W,45.8715,122.71,0.256052
00200115,5/37.25,45.8849,122.729,0.257618
0012156C,5/3S-E,45.623,122.67,0.263603
0012137B,5/402E,47.0751,122.695,0.422896
0008134A,5/402W,47.0756,122.697,0.423124
0008134D,5/406,47.0828,122.67,0.421328
0006274A,5/406A,47.0832,122.67,0.421388
0014963A,5/407,47.0876,122.645,0.419395
0005284A,5/407.5,47.0897,122.637,0.418875
0014963D,5/407A,47.0857,122.644,0.419076
0014963C,5/407S-N,47.0892,122.641,0.41918
0014963B,5/407S-S,47.0876,122.648,0.419733
0005394A,5/408,47.0931,122.624,0.417949
0005394B,5/409,47.0952,122.617,0.417489
0008264C,5/40E,45.8894,122.733,0.257905
0002559A,5/40W,45.8887,122.733,0.257905
0008580A,5/411E,47.104,122.589,0.415546
0008580B,5/411NCD,47.1039,122.589,0.415528
0004495B,5/411SCD,47.1043,122.589,0.415594
0004495A,5/411W,47.1042,122.589,0.415576
0004495C,5/413,47.1186,122.557,0.413643
0004495D,5/414,47.1272,122.543,0.412913
0005943A,5/415,47.1371,122.526,0.412028
0005943B,5/415A,47.1375,122.526,0.412093
0005523A,5/416,47.1416,122.515,0.411336
0005523B,5/417,47.145,122.507,0.410739
